Canal de Origem,Região,UF,Sexo,Faixa Etária,Ano Abertura,Mês Abertura,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,target_resolvida
Plataforma Web,CO,GO,F,entre 21 a 30 anos,2021.0,6.0,Varejo,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,0
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2018.0,12.0,Artigos Esportivos,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,1
Plataforma Web,CO,GO,M,entre 51 a 60 anos,2023.0,3.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro de Vida,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2017.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,1
Plataforma Web,SE,MG,F,entre 41 a 50 anos,2018.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho de telefone fixo / interfone,Cobrança / Contestação,"Cobrança adicional não informada previamente (frete, montagem, taxas)",Internet,S,1
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2023.0,10.0,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,"Falta de acesso a comunicação, alimentação, acomodação e/ou traslado em caso de atraso, cancelamento ou interrupção de voo",Internet,S,0
Plataforma Web,CO,MT,F,entre 31 a 40 anos,2022.0,6.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,0
Plataforma Web,SE,RJ,F,entre 21 a 30 anos,2023.0,10.0,"Vestuário, Calçados e Acessórios",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Contrato / Oferta,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),Internet,S,1
Plataforma Web,SE,RJ,F,entre 31 a 40 anos,2022.0,10.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,S,1
Plataforma Web,CO,DF,F,entre 41 a 50 anos,2022.0,10.0,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )",Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,0
Não informado,SE,SP,F,entre 31 a 40 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,1
Plataforma Web,SE,SP,F,mais de 70 anos,2024.0,9.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por Irregularidade ou defeito na medição,Não comprei / contratei,S,1
Não informado,SE,RJ,M,entre 41 a 50 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança após cancelamento do serviço,Telefone,S,1
Plataforma Web,S,RS,M,entre 61 a 70 anos,2021.0,10.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro de Vida / Acidentes Pessoais / Desemprego,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,0
Plataforma Web,S,SC,M,entre 51 a 60 anos,2024.0,12.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2020.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2023.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2020.0,5.0,Não informado,Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança / Contestação,"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",Loja física,N,1
Plataforma Web,SE,RJ,F,entre 21 a 30 anos,2023.0,1.0,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Vício de Qualidade,Dificuldade para alterar/ ativar serviços,Internet,S,1
Plataforma Web,SE,MG,M,entre 21 a 30 anos,2018.0,12.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Vício de Qualidade,Suspensão ou desligamento indevido do serviço,Telefone,S,1
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2022.0,11.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,S,1
Plataforma Web,SE,MG,M,entre 51 a 60 anos,2020.0,10.0,Transporte Aéreo,Transportes,Aéreo,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,S,1
Plataforma Web,CO,GO,M,entre 31 a 40 anos,2022.0,3.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Loja física,S,0
Plataforma Web,SE,SP,F,entre 61 a 70 anos,2023.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Loja física,S,1
Plataforma Web,S,SC,M,entre 31 a 40 anos,2024.0,4.0,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Internet,S,0
Plataforma Web,SE,RJ,M,entre 31 a 40 anos,2023.0,6.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Contrato / Oferta,Alteração / rescisão de contrato sem solicitação / aviso prévio,Internet,N,0
Plataforma Web,CO,GO,M,entre 31 a 40 anos,2018.0,12.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança após cancelamento do serviço,Telefone,N,1
Plataforma Web,SE,ES,F,entre 21 a 30 anos,2023.0,8.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Não comprei / contratei,S,0
Não informado,SE,SP,F,entre 61 a 70 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Serviços Financeiros,Demais Seguros (exceto habitacional),Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,S,1
Plataforma Web,CO,DF,M,entre 41 a 50 anos,2022.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Contrato / Oferta,Serviço indisponível para a região ou sem previsão,Loja física,S,1
Plataforma Web,S,SC,F,mais de 70 anos,2021.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Fixa,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,1
Plataforma Web,SE,SP,M,até 20 anos,2017.0,2.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Internet,N,1
Plataforma Web,NE,BA,F,entre 31 a 40 anos,2021.0,1.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,1
Não identificado,SE,MG,F,entre 31 a 40 anos,2014.0,7.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,Aparelho celular,Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Loja física,S,1
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2023.0,2.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,S,PR,F,entre 31 a 40 anos,2018.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,1
Plataforma Web,SE,ES,F,entre 41 a 50 anos,2018.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Telefone,S,1
Plataforma Web,NE,CE,M,entre 31 a 40 anos,2021.0,10.0,Comércio Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Dados Pessoais e Privacidade,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,Internet,S,1
Plataforma Web,SE,RJ,F,entre 61 a 70 anos,2020.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Telefone,S,0
Plataforma Web,S,RS,M,entre 21 a 30 anos,2018.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Vício de Qualidade,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",Telefone,N,1
Plataforma Web,SE,MG,M,entre 21 a 30 anos,2023.0,10.0,Cartões de Descontos,Saúde,"Serviços particulares de saúde ( médico, odontológico, hospitalar, ambulatorial, cliníco, cuidadores de idosos )",Contrato / Oferta,Dificuldade para alterar ou cancelar o contrato /serviço,Internet,S,1
Não informado,CO,MT,M,entre 61 a 70 anos,Não informado,Não informado,Agências de Viagens,Turismo/Viagens,"Cultura, Esporte, Lazer e Eventos",Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,1
Plataforma Web,S,RS,M,entre 51 a 60 anos,2024.0,12.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Residencial / Condomínio,Contrato / Oferta,Negativa de cobertura / Demora injustificada ou Divergência na indenização,Loja física,S,1
Plataforma Web,NE,PI,F,entre 21 a 30 anos,2020.0,3.0,Não informado,Transportes,Aéreo,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,N,1
Plataforma Web,NE,PI,F,entre 61 a 70 anos,2024.0,11.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Contrato / Oferta,"Venda casada (imposição de seguro, empréstimo, título de capitalização etc)",Loja física,S,0
Plataforma Android,S,PR,F,entre 41 a 50 anos,2020.0,4.0,Não informado,Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,N,0
Plataforma Web,S,SC,F,entre 61 a 70 anos,2020.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Vício de Qualidade,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,Telefone,S,1
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2021.0,8.0,"Perfumaria, Cosméticos e Higiene Pessoal",Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,1
Plataforma Web,SE,ES,M,entre 21 a 30 anos,2023.0,8.0,Comércio Eletrônico,Demais Serviços,"Serviços por Assinatura (livros, vinhos etc)",Contrato / Oferta,Dificuldade para alterar ou cancelar o contrato /serviço,Internet,N,1
Plataforma Web,NE,BA,F,entre 31 a 40 anos,2021.0,8.0,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)",Entrega do Produto,Produto entregue incompleto / diferente do  pedido,Internet,S,0
Plataforma Web,S,SC,F,entre 21 a 30 anos,2020.0,10.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Fixa,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Internet,S,1
Plataforma Web,S,RS,F,entre 21 a 30 anos,2018.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,1
Plataforma Web,SE,MG,F,entre 51 a 60 anos,2024.0,4.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,S,1
Plataforma Web,S,RS,F,entre 21 a 30 anos,2024.0,8.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,S,PR,M,entre 21 a 30 anos,2015.0,5.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,N,1
Plataforma Web,S,PR,F,entre 21 a 30 anos,2024.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Atendimento / SAC,SAC - Dificuldade de contato / acesso,Telefone,N,1
Não informado,N,AM,M,entre 31 a 40 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,0
Plataforma Web,SE,RJ,M,entre 61 a 70 anos,2022.0,12.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2024.0,10.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Catálogo,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2018.0,8.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Renegociação / parcelamento de dívida,Não comprei / contratei,N,0
Plataforma Web,S,PR,M,entre 51 a 60 anos,2022.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Contrato / Oferta,Publicidade abusiva / ofensiva / discriminatória,Não comprei / contratei,S,0
Plataforma Web,S,PR,M,entre 31 a 40 anos,2023.0,4.0,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Android,NE,BA,M,entre 21 a 30 anos,2021.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,1
Plataforma Web,SE,SP,M,até 20 anos,2017.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Loja física,N,1
Plataforma Web,SE,SP,M,entre 51 a 60 anos,2017.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,1
Plataforma Web,S,PR,M,entre 21 a 30 anos,2021.0,1.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Não comprei / contratei,N,1
Plataforma Web,SE,SP,F,mais de 70 anos,2023.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Vício de Qualidade,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",Loja física,S,0
Não informado,SE,MG,M,entre 31 a 40 anos,Não informado,Não informado,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc )",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,CO,DF,F,entre 41 a 50 anos,2024.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Informação,Informações incompletas / inadequadas sobre o serviço,Internet,N,0
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2016.0,11.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,Televisão,Saúde e Segurança,"Recall  descumprimento, dúvida",Internet,S,0
Plataforma Web,NE,BA,F,entre 61 a 70 anos,2023.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Atendimento / SAC,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Loja física,S,0
Plataforma Web,NE,BA,M,entre 31 a 40 anos,2022.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,1
Plataforma Web,NE,MA,M,entre 31 a 40 anos,2020.0,2.0,Não informado,Serviços Financeiros,Atendimento Bancário,Atendimento / SAC,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Loja física,S,0
Plataforma Web,S,RS,M,entre 31 a 40 anos,2020.0,3.0,Não informado,Produtos Eletrodomésticos e Eletrônicos,"Fogão, microondas, forno elétrico, depurador de ar e coifa",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,1
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2023.0,6.0,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Internet,S,0
Não informado,SE,ES,M,entre 31 a 40 anos,Não informado,Não informado,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Internet,N,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2018.0,1.0,Comércio Eletrônico,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2017.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Renegociação / parcelamento de dívida,Telefone,S,0
Plataforma Web,S,PR,M,entre 51 a 60 anos,2024.0,3.0,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Acessório para eletroeletrônicos (pilhas, baterias etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,S,RS,F,entre 31 a 40 anos,2020.0,5.0,Não informado,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,1
Plataforma Web,NE,MA,M,entre 21 a 30 anos,2016.0,5.0,Comércio Eletrônico,Demais Produtos,"Produtos Veterinários (ração, acessórios etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,N,AM,M,entre 41 a 50 anos,2023.0,5.0,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,1
Plataforma Web,SE,MG,M,entre 41 a 50 anos,2018.0,5.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (Empréstimo descontado em folha de pagamento),Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Não comprei / contratei,N,0
Plataforma Web,NE,PE,F,entre 41 a 50 anos,2021.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2021.0,4.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Vício de Qualidade,Dificuldade para alterar/ ativar serviços,Loja física,S,0
Plataforma Web,NE,BA,M,entre 31 a 40 anos,2020.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Atendimento / SAC,SAC - Dificuldadede de contato / acesso,Internet,S,1
Plataforma Web,SE,SP,F,entre 21 a 30 anos,2016.0,12.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,1
Plataforma Web,NE,MA,F,entre 21 a 30 anos,2021.0,3.0,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,S,PR,F,entre 51 a 60 anos,2023.0,6.0,Comércio Eletrônico,Alimentos,Supermercados e Conveniências,Saúde e Segurança,"Alteração de odor, sabor, aspecto ou composição química",Internet,S,0
Plataforma Web,S,PR,F,entre 21 a 30 anos,2020.0,6.0,Não informado,Educação,Superior ( Graduação e Pós ),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Telefone,S,0
Não informado,SE,ES,F,entre 21 a 30 anos,Não informado,Não informado,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2016.0,4.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança / Contestação,Renegociação / parcelamento de dívida,Telefone,S,1
Plataforma Web,S,RS,M,entre 31 a 40 anos,2024.0,2.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,S,1
Plataforma Web,S,PR,M,entre 31 a 40 anos,2021.0,8.0,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Não comprei / contratei,S,0
Plataforma Web,NE,MA,F,mais de 70 anos,2021.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,0
Plataforma Web,S,PR,M,entre 31 a 40 anos,2021.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,1
Plataforma Web,SE,RJ,F,entre 61 a 70 anos,2020.0,1.0,Não informado,Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Internet,N,1
Plataforma Web,SE,SP,F,entre 31 a 40 anos,2022.0,3.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,S,1
Plataforma Web,S,RS,M,entre 21 a 30 anos,2015.0,6.0,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Demais Serviços,"Serviços por Assinatura (revistas, jornal, livros, vinhos etc)",Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Internet,S,0
Plataforma Web,CO,MS,M,entre 31 a 40 anos,2022.0,1.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Dificuldade para alterar ou cancelar o contrato /serviço,Internet,S,1
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2021.0,4.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Internet,N,0
